Nit,Fecha Corte,Punto Entrada,Periodo,Efectivo y equivalentes al efectivo,Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,Inventarios corrientes,"Activos por impuestos corrientes, corriente",Activos biológicos corrientes,Otros activos financieros corrientes,Otros activos no financieros corrientes,Activos corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo dicha garantía colateral,Total activos corrientes distintos de los activos no corrientes o grupo de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,Activos corrientes totales,Propiedad de inversión,"Propiedades, planta y equipo",Plusvalía,Activos intangibles distintos de la plusvalía,Inversiones contabilizadas utilizando el método de la participación,"Inversiones en subsidiarias, negocios conjuntos y asociadas",Activos biológicos no corrientes,Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes,Inventarios no corrientes,Activos por impuestos diferidos,"Activos por impuestos corrientes, no corriente",Otros activos financieros no corrientes,Otros activos no financieros no corrientes,Activos no corrientes distintos al efectivo pignorados como garantía colateral para las que el receptor de transferencias tiene derecho por contrato o costumbre a vender o pignorar de nuevo la garantía colateral,Total de activos no corrientes,Total de activos,Provisiones corrientes por beneficios a los empleados,Otras provisiones corrientes,Total provisiones corrientes,Cuentas por pagar comerciales y otras cuentas por pagar,"Pasivos por impuestos corrientes, corriente",Otros pasivos financieros corrientes,Otros pasivos no financieros corrientes,Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,Pasivos corrientes totales,Provisiones no corrientes por beneficios a los empleados,Otras provisiones no corrientes,Total provisiones no corrientes,Cuentas comerciales por pagar y otras cuentas por pagar no corrientes,Pasivo por impuestos diferidos,"Pasivos por impuestos corrientes, no corriente",Otros pasivos financieros no corrientes,Otros pasivos no financieros no corrientes,Total de pasivos no corrientes,Total pasivos,Capital emitido,Prima de emisión,Acciones propias en cartera,Inversión suplementaria al capital asignado,Otras participaciones en el patrimonio,Superavit por revaluación,Otras reservas,Ganancias acumuladas,Patrimonio total,Total de patrimonio y pasivos
832000402,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,10233273,16353531,18618700,3369949,0,910799,0,0,49486252,0,49486252,0,6662784,,,36917364,,,,,,,1925272,,,45505420,94991672,2056826,,2056826,22109318,1146295,495117,,25807556,,25807556,498694,,498694,,9023037,,,,9521731,35329287,9105161,,,,,,4552581,46004643,59662385,94991672
832000402,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,2705609,10515214,13390576,5239246,,372292,,,32222937,,32222937,,7369355,,,48783654,,,,,,,344586,,,56497595,88720532,2381257,,2381257,11486110,396652,,53601,14317620,,14317620,507564,,507564,,12063570,,,,12571134,26888754,9105161,,,,,,4552581,48174036,61831778,88720532
900568503,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2090992,68059870,14921891,156970,,,,,85229723,,85229723,475000,607383,,,,,,,,215474,,,,,1297857,86527580,8790,,8790,33744394,450,,,33753634,,33753634,,,,,,,,,,33753634,53348664,,,,,,19820,-594538,52773946,86527580
900568503,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,5599119,64484984,24559303,151,,,,,94643557,,94643557,0,744746,,,,,,,,,,,,,744746,95388303,6811,,6811,42332713,283372,,,42622896,,42622896,,,,,,,,,,42622896,53348664,,,,,,19820,-603077,52765407,95388303
830035904,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,2343248,118797383,,10143166,,140721,,,131424518,,131424518,,8815888,,1579241,,849479,,,,2864325,,,,,14108933,145533451,556124,12716551,13272675,65967565,4830577,,3987843,88058660,,88058660,,,,,684466,,,,684466,88743126,5000000,36323960,,,,,,15466365,56790325,145533451
830035904,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,10725516,83530019,,7115923,,106948,,,101478406,,101478406,,8992945,,1784519,,2848038,,,,1556612,,,,,15182114,116660520,427294,9174429,9601723,58383323,2113598,,1730052,71828696,,71828696,,,,,528932,,,,528932,72357628,4700000,23300000,,,,,,16302892,44302892,116660520
900612501,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,12433085,96156584,78680533,6192043,,,608309,,194070554,,194070554,,22671073,,237120,1584530,,,,,7373298,,,,,31866021,225936575,,,,64751553,15805914,21669254,3970635,106197356,,106197356,,,,,1049225,,28529157,2342725,31921107,138118463,3653920,60816505,,,,,662913,22684774,87818112,225936575
900612501,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,4977980,109881394,88758734,1385704,,,359295,,205363107,,205363107,,20223109,,237120,1083344,,,,,12993131,,,,,34536704,239899811,,318582,318582,68425265,3339128,46218678,125705,118427358,,118427358,,,,,4603531,,27499768,896151,32999450,151426808,3653920,60816505,,,,,9933682,14068896,88473003,239899811
890321924,31/12/2018,20 NIIF Plenas - Separados,Periodo Actual,510649,12193013,9090102,1536929,,,,,23330693,,23330693,,20372377,,,,168987,,,,656329,,,,,21197693,44528386,756870,,756870,6280902,732319,2609664,,10379755,,10379755,,,,,922985,,17874364,,18797349,29177104,4215655,,,,1314291,7778541,748938,1293857,15351282,44528386
890321924,31/12/2018,20 NIIF Plenas - Separados,Periodo Anterior,691650,10720338,8733583,1267600,,,,,21413171,,21413171,,21060505,,,,117750,,,,989778,,,,,22168033,43581204,646201,,646201,3726488,733835,2213441,,7319965,,7319965,,,,,1219595,,20221578,,21441173,28761138,4215655,,,,1314291,8109133,701969,479018,14820066,43581204
